km	long	lat	alt	name
0.000	130.84252	-12.46585	38.0	Darwin
0.002	130.84251	-12.46584	38.0	
0.004	130.84250	-12.46582	38.1	
0.006	130.84250	-12.46580	38.2	
0.025	130.84247	-12.46563	38.9	
0.031	130.84248	-12.46558	39.2	
0.036	130.84250	-12.46554	39.4	
0.041	130.84254	-12.46551	39.5	
0.046	130.84258	-12.46549	39.5	
0.056	130.84266	-12.46546	39.5	
0.062	130.84270	-12.46542	39.6	
0.083	130.84283	-12.46528	40.0	
0.180	130.84348	-12.46467	38.6	
0.266	130.84403	-12.46412	37.8	
0.312	130.84434	-12.46383	36.8	
0.335	130.84448	-12.46368	36.2	
0.370	130.84471	-12.46345	35.6	
0.382	130.84479	-12.46338	35.4	
0.433	130.84511	-12.46305	33.5	
0.466	130.84531	-12.46282	31.2	
0.486	130.84543	-12.46268	29.6	
0.518	130.84562	-12.46246	27.0	
0.530	130.84569	-12.46238	26.1	
0.566	130.84592	-12.46214	23.9	
0.579	130.84600	-12.46206	23.1	
0.647	130.84635	-12.46155	19.0	
0.661	130.84642	-12.46144	19.0	
0.705	130.84662	-12.46110	19.4	
0.798	130.84689	-12.46030	17.8	
0.970	130.84686	-12.45874	14.9	
1.147	130.84628	-12.45725	10.3	
1.219	130.84600	-12.45666	11.2	
1.238	130.84594	-12.45650	10.9	
1.312	130.84582	-12.45584	9.0	
1.350	130.84581	-12.45550	9.0	
1.483	130.84610	-12.45433	10.2	
1.503	130.84618	-12.45417	10.3	
1.659	130.84698	-12.45299	8.7	
1.809	130.84777	-12.45188	13.2	
1.826	130.84784	-12.45174	13.4	
1.936	130.84817	-12.45080	13.8	
2.070	130.84846	-12.44963	7.9	
2.188	130.84874	-12.44860	8.7	
2.340	130.84902	-12.44725	10.8	
2.378	130.84905	-12.44691	11.9	
2.628	130.84907	-12.44465	13.3	
2.667	130.84904	-12.44430	13.1	
2.850	130.84893	-12.44265	16.2	
3.016	130.84906	-12.44115	7.5	
3.177	130.84946	-12.43975	5.8	
3.190	130.84950	-12.43964	6.1	
3.271	130.84978	-12.43896	7.7	
3.442	130.85062	-12.43765	12.5	
3.504	130.85100	-12.43724	15.8	
3.585	130.85153	-12.43672	23.1	
3.627	130.85181	-12.43646	24.5	
3.713	130.85242	-12.43596	24.3	
3.757	130.85276	-12.43575	24.3	
3.802	130.85311	-12.43554	23.9	
3.912	130.85403	-12.43511	23.0	
4.020	130.85495	-12.43476	21.8	
4.080	130.85547	-12.43456	20.1	
4.120	130.85581	-12.43443	19.8	
4.141	130.85599	-12.43436	19.6	
4.302	130.85737	-12.43383	17.4	
4.322	130.85754	-12.43377	17.4	
4.527	130.85930	-12.43311	15.1	
4.783	130.86158	-12.43253	6.9	
5.039	130.86394	-12.43246	5.6	
5.411	130.86736	-12.43244	8.8	
5.604	130.86913	-12.43243	13.5	
5.841	130.87131	-12.43243	17.5	
5.993	130.87271	-12.43243	18.6	
6.485	130.87724	-12.43240	25.0	
7.017	130.88213	-12.43238	18.1	
7.509	130.88665	-12.43235	16.3	
7.977	130.89096	-12.43239	20.4	
8.226	130.89321	-12.43280	26.5	
8.467	130.89526	-12.43362	26.9	
8.662	130.89679	-12.43455	17.9	
8.686	130.89696	-12.43468	17.6	
8.831	130.89801	-12.43549	13.3	
8.855	130.89819	-12.43562	12.6	
9.113	130.90005	-12.43706	15.5	
9.139	130.90025	-12.43720	16.4	
9.278	130.90131	-12.43790	23.7	
9.394	130.90225	-12.43839	29.8	
9.542	130.90352	-12.43888	32.5	
9.665	130.90461	-12.43917	35.6	
9.968	130.90736	-12.43964	36.6	
10.160	130.90910	-12.43993	33.5	
10.242	130.90983	-12.44012	33.2	
10.405	130.91124	-12.44062	29.5	
10.535	130.91231	-12.44114	22.5	
10.561	130.91252	-12.44125	20.9	
10.711	130.91366	-12.44201	15.3	
10.929	130.91523	-12.44324	14.2	
11.177	130.91691	-12.44476	13.5	
11.410	130.91808	-12.44652	16.2	
11.685	130.91948	-12.44859	19.1	
11.861	130.92080	-12.44951	15.0	
11.990	130.92193	-12.44987	13.2	
12.110	130.92303	-12.44994	13.2	
12.282	130.92461	-12.44994	14.9	
12.372	130.92544	-12.44994	16.7	
12.390	130.92561	-12.44994	16.9	
12.578	130.92733	-12.45007	20.0	
12.621	130.92771	-12.45017	20.4	
12.897	130.93013	-12.45093	23.2	
13.046	130.93144	-12.45134	26.7	
13.072	130.93166	-12.45142	27.7	
13.459	130.93505	-12.45249	21.9	
13.561	130.93595	-12.45277	18.2	
13.717	130.93731	-12.45321	16.2	
14.201	130.94146	-12.45478	13.7	
14.804	130.94651	-12.45704	15.2	
15.345	130.95102	-12.45910	18.0	
15.396	130.95143	-12.45933	18.0	
15.738	130.95405	-12.46105	15.4	
16.075	130.95671	-12.46260	18.8	
16.375	130.95930	-12.46355	25.8	
16.630	130.96160	-12.46400	30.3	
16.929	130.96435	-12.46409	37.7	
17.349	130.96820	-12.46377	35.2	
17.504	130.96962	-12.46377	32.4	
17.808	130.97240	-12.46409	26.2	
18.089	130.97494	-12.46458	28.3	
18.349	130.97712	-12.46554	32.6	
18.704	130.97985	-12.46730	31.7	
18.950	130.98174	-12.46852	32.7	
19.171	130.98358	-12.46938	34.4	
19.411	130.98572	-12.46991	36.6	
19.710	130.98841	-12.47048	36.6	
20.089	130.99181	-12.47121	43.1	
20.385	130.99438	-12.47209	43.8	
20.661	130.99660	-12.47331	46.1	
20.970	130.99879	-12.47509	43.8	
21.092	130.99956	-12.47589	41.4	
21.237	131.00046	-12.47686	35.6	
21.399	131.00147	-12.47794	33.2	
21.816	131.00405	-12.48072	35.3	
22.070	131.00576	-12.48229	30.8	
22.212	131.00680	-12.48307	27.4	
22.472	131.00856	-12.48466	28.1	
22.614	131.00936	-12.48567	36.2	
22.663	131.00961	-12.48604	37.2	
22.712	131.00985	-12.48642	37.3	
22.813	131.01027	-12.48723	38.1	
23.053	131.01101	-12.48928	42.0	
23.334	131.01153	-12.49176	43.5	
23.594	131.01213	-12.49404	44.6	
23.808	131.01296	-12.49579	43.0	
23.917	131.01346	-12.49665	44.8	
23.982	131.01375	-12.49716	44.8	
23.996	131.01382	-12.49727	45.0	
24.002	131.01385	-12.49731	45.0	
24.053	131.01408	-12.49771	45.6	
24.208	131.01478	-12.49894	45.7	
24.458	131.01591	-12.50090	44.2	
24.724	131.01711	-12.50300	44.7	
24.783	131.01738	-12.50346	43.2	
25.097	131.01883	-12.50592	39.8	
25.149	131.01908	-12.50632	38.8	
25.150	131.01908	-12.50633	38.8	
25.166	131.01915	-12.50645	38.3	
25.175	131.01919	-12.50653	38.2	
25.201	131.01928	-12.50674	38.2	
25.326	131.01984	-12.50773	38.7	
25.553	131.02086	-12.50952	35.3	
25.601	131.02108	-12.50990	33.7	
25.625	131.02120	-12.51008	32.8	
25.712	131.02164	-12.51074	27.8	
25.750	131.02185	-12.51101	26.5	
25.767	131.02195	-12.51113	26.1	
25.832	131.02234	-12.51157	25.6	
26.061	131.02388	-12.51299	21.2	
26.242	131.02528	-12.51387	19.7	
26.374	131.02637	-12.51439	22.8	
26.549	131.02790	-12.51490	30.0	
26.592	131.02828	-12.51501	33.5	
26.635	131.02866	-12.51512	34.8	
26.650	131.02879	-12.51515	35.1	
26.771	131.02986	-12.51545	36.6	
26.970	131.03160	-12.51603	40.3	
26.991	131.03178	-12.51610	40.4	
27.012	131.03195	-12.51618	40.3	
27.033	131.03212	-12.51627	40.3	
27.260	131.03386	-12.51741	41.0	
27.457	131.03533	-12.51844	41.6	
27.531	131.03589	-12.51883	42.2	
27.582	131.03627	-12.51910	43.6	
27.998	131.03938	-12.52129	45.6	
28.341	131.04194	-12.52310	46.8	
28.517	131.04326	-12.52403	46.4	
28.619	131.04402	-12.52457	45.9	
28.638	131.04417	-12.52466	45.8	
28.660	131.04433	-12.52477	46.3	
28.735	131.04489	-12.52517	48.3	
28.751	131.04501	-12.52526	48.7	
28.912	131.04620	-12.52613	49.8	
29.182	131.04803	-12.52778	50.2	
29.477	131.04978	-12.52981	49.9	
29.768	131.05146	-12.53186	48.7	
29.917	131.05232	-12.53291	47.3	
30.457	131.05548	-12.53668	50.5	
30.487	131.05565	-12.53689	51.5	
30.975	131.05861	-12.54021	49.3	
31.297	131.06039	-12.54253	46.2	
31.933	131.06374	-12.54725	46.5	
32.607	131.06729	-12.55224	43.2	
33.260	131.07071	-12.55710	42.0	
33.515	131.07196	-12.55905	42.7	
33.806	131.07299	-12.56148	40.9	
33.988	131.07339	-12.56307	39.5	
34.056	131.07351	-12.56368	39.4	
34.070	131.07353	-12.56380	39.4	
34.164	131.07362	-12.56465	38.0	
34.200	131.07365	-12.56497	37.2	
34.213	131.07365	-12.56509	37.0	
34.271	131.07367	-12.56561	36.5	
34.420	131.07367	-12.56696	34.0	
34.622	131.07367	-12.56879	31.0	
34.944	131.07367	-12.57170	31.9	
35.571	131.07367	-12.57736	34.5	
35.784	131.07366	-12.57929	28.8	
35.815	131.07366	-12.57957	28.4	
36.583	131.07365	-12.58651	29.4	
37.204	131.07365	-12.59213	26.6	
37.235	131.07365	-12.59241	25.5	
37.544	131.07365	-12.59520	22.7	
38.036	131.07361	-12.59965	20.2	
38.501	131.07361	-12.60385	17.7	
38.719	131.07361	-12.60582	17.3	
39.235	131.07364	-12.61048	18.2	
39.584	131.07363	-12.61364	19.5	
40.021	131.07349	-12.61759	23.4	
40.434	131.07287	-12.62127	24.7	
40.551	131.07270	-12.62231	25.4	
40.866	131.07253	-12.62516	26.8	
41.187	131.07284	-12.62804	29.8	
41.344	131.07307	-12.62944	31.1	
41.405	131.07316	-12.62999	32.0	
41.947	131.07394	-12.63483	36.9	
42.527	131.07477	-12.64001	37.2	
42.782	131.07519	-12.64227	35.5	
42.972	131.07554	-12.64396	35.8	
43.618	131.07663	-12.64970	35.7	
44.118	131.07737	-12.65416	40.3	
44.187	131.07747	-12.65477	40.7	
44.560	131.07802	-12.65810	45.4	
44.724	131.07829	-12.65956	47.4	
